W_ID,VIN,Arrival_Date,,
1,4T1BK1EB6FU752527,2021-03-13,,
2,19UUA56642A233157,2021-03-29,,
3,3C63D3KL9CG622193,2021-03-06,,
4,4USBU33576L116903,2021-03-26,,
5,WAUVFAFH9BN864684,2021-03-30,,
6,4T1BK3DB0BU135535,2021-03-22,,
7,1GYEK63N85R655109,2021-03-18,,
8,JTHFE2C29E2056503,2021-03-09,,
9,1GD312CG5EF086369,2021-03-14,,
10,WDDLJ7DB5CA308462,2021-03-10,,
11,2T1BU4EEXBC031824,2021-03-08,,
12,1G6KE57Y33U544933,2021-03-04,,
13,19UUA56731A099829,2021-03-13,,
14,WAUDT48H96K468796,2021-03-17,,
15,KNADH4A36B6353074,2021-03-28,,
16,WA1AV94L87D107258,2021-03-07,,
17,1GTN1TEH1EZ047219,2021-03-27,,
18,YV1952AS5E1470301,2021-03-21,,
19,WBA3A5G57CN709795,2021-03-19,,
20,5NPDH4AE6FH449495,2021-03-04,,
